FID,Z,LON,LAT
0,184.2,-83.42514587,39.01353301
1,184.35,-83.42511634,39.01354426
2,184.66,-83.42500806,39.01358615
3,183.87,-83.42526595,39.01348862
4,178.74,-83.4260027,39.01321021
5,171.02,-83.42693874,39.01285675
6,170.65,-83.42728247,39.0127267
7,170.37,-83.42741472,39.01267665
8,170.96,-83.42766816,39.01258064
9,171.55,-83.42791372,39.0124875
10,171.19,-83.42849219,39.0122686
11,171.17,-83.42844433,39.01228743
12,171.3,-83.42836146,39.01231907
13,170.35,-83.42740664,39.01268339
14,170.45,-83.42734599,39.01270655
15,167.28,-83.42665701,39.01296964
16,167.15,-83.42639322,39.01307028
17,183.59,-83.425422,39.0134388
18,184.05,-83.425194,39.01352562
19,183.77,-83.42533278,39.01347408
20,175.23,-83.42610203,39.01318373
21,172.92,-83.42615403,39.01316427
22,171.17,-83.42851386,39.01227094
23,171.31,-83.42782832,39.01253298
24,170.71,-83.42759588,39.01262179
25,170.65,-83.42759053,39.01262388
26,170.52,-83.42733632,39.01272089
27,170.89,-83.42718835,39.01277722
28,171.26,-83.42683405,39.01291244
29,167.21,-83.42649413,39.01304259
30,184.73,-83.42497492,39.01362018
31,183.66,-83.42537284,39.01347009
32,170.86,-83.42722301,39.01277082
33,171.15,-83.4284788,39.01229572
34,170.6,-83.42731593,39.01273934
35,167.09,-83.42639633,39.0130903
36,181.19,-83.42596388,39.01325364
37,183.39,-83.42553957,39.01341518
38,183.92,-83.42521866,39.01353745
39,184.44,-83.42504344,39.01360425
40,170.72,-83.42762444,39.01262957
41,171.24,-83.42777414,39.01257294
42,171.55,-83.42803471,39.01247625
43,170.81,-83.42725246,39.01277453
44,170.97,-83.42714861,39.01281409
45,171.06,-83.4262975,39.01313849
46,184.85,-83.42497323,39.01364166
47,184.39,-83.42505032,39.01361294
48,183.43,-83.42544571,39.01346344
49,171.14,-83.42773574,39.01259833
50,171.27,-83.42782235,39.01256797
51,183.96,-83.42516078,39.01358082
52,183.27,-83.42558665,39.01342096
53,167.4,-83.42664564,39.01302241
54,168.19,-83.42678861,39.01296826
55,170.63,-83.42732308,39.01276595
56,171.21,-83.42848767,39.01232554
57,171.28,-83.42840493,39.01235754
58,171.41,-83.42829036,39.01240119
59,171.35,-83.4282084,39.01243245
60,170.6,-83.42733882,39.01276364
61,170.85,-83.42721285,39.01281158
62,171.33,-83.42684737,39.01295073
63,183.28,-83.42566902,39.01339807
64,183.8,-83.42524025,39.01356114
65,183.85,-83.42522251,39.01356908
66,183.82,-83.42523881,39.01356289
67,180.24,-83.42602995,39.01326424
68,171.14,-83.42705597,39.01287755
69,170.82,-83.42724147,39.01280747
70,170.68,-83.42762648,39.01266206
71,171.33,-83.42790021,39.01255851
72,171.49,-83.4280184,39.01251605
73,170.44,-83.42739084,39.01275517
74,170.64,-83.42729166,39.01279291
75,168.16,-83.42680649,39.01297789
76,177.94,-83.42611516,39.01324004
77,183.56,-83.42532949,39.01353992
78,167.13,-83.42643912,39.01312248
79,170.64,-83.42729863,39.01279736
80,170.6,-83.42760692,39.01268093
81,171.39,-83.42815729,39.0124745
